title,family_id,season,color,adventurous,print,style,weather,level
Terentis Bag sew yellow 7,Bag,7,yellow,4,smooth,boho,warm_season,3
Tess Bag cahier brown 7,Bag,7,brown,2,smooth,boho,warm_season,3
Tess Bag cahier orange 7,Bag,7,orange,2,smooth,boho,warm_season,3
Tess Bag cahier yellow 7,Bag,7,yellow,2,smooth,boho,warm_season,3
Thea Bag sew yellow 7,Bag,7,yellow,4,smooth,boho,warm_season,3
Theo Bag sew brown 7,Bag,7,brown,2,smooth,boho,warm_season,3
Theo Bag sew yellow 7,Bag,7,yellow,2,smooth,boho,warm_season,3
Theone Bag sew brown 7,Bag,7,brown,3,smooth,boho,warm_season,3
Theone Bag sew yellow 7,Bag,7,yellow,3,smooth,boho,warm_season,3
Thisbe Bag cahier brown 7,Bag,7,brown,3,smooth,boho,warm_season,3
Thisbe Bag cahier yellow 7,Bag,7,yellow,3,smooth,boho,warm_season,3
Thomas Bag cahier brown 7,Bag,7,brown,2,smooth,boho,warm_season,3
Thomas Bag cahier yellow 7,Bag,7,yellow,2,smooth,boho,warm_season,3
Tiara Bag cahier brown 7,Bag,7,brown,2,smooth,boho,warm_season,3
Tiara Bag cahier yellow 7,Bag,7,yellow,2,smooth,boho,warm_season,3
Tibolo Bag cahiergreen 7,Bag,7,green,3,smooth,boho,warm_season,3
Tibolo Bag cahierorange 7,Bag,7,orange,3,smooth,boho,warm_season,3
Tibolo Bag cahieryellow 7,Bag,7,yellow,3,smooth,boho,warm_season,3
Tienette Bag film yellow 7,Bag,7,yellow,3,smooth,night,warm_season,3
Timandra Bag filmbrown 7,Bag,7,brown,3,smooth,night,warm_season,3
Timandra Bag filmorange 7,Bag,7,orange,3,smooth,night,warm_season,3
Timeus Bag cahiergreen 7,Bag,7,green,3,smooth,boho,warm_season,3
Timeus Bag cahierorange 7,Bag,7,orange,3,smooth,boho,warm_season,3
Timeus Bag cahieryellow 7,Bag,7,yellow,3,smooth,boho,warm_season,3
Timon Bag filmbrown 7,Bag,7,brown,2,smooth,boho,warm_season,3
Timon Bag filmgreen 7,Bag,7,green,2,smooth,boho,warm_season,3
Timon Bag filmorange 7,Bag,7,orange,2,smooth,boho,warm_season,3
York Bag cotton black 9,Bag,9,black,2,smooth,boho,warm,3
York Bag cotton brown 9,Bag,9,brown,2,smooth,boho,warm,3
York Bag cotton orange 9,Bag,9,orange,2,smooth,boho,warm,3
York Bag cotton red 9,Bag,9,red,2,smooth,boho,warm,3
Alexa Cardigan soft black 8,Cardigan,8,black,2,smooth,boho,cold_season,2
Alexa Cardigan soft brown 8,Cardigan,8,brown,2,smooth,boho,cold_season,2
Alexa Cardigan soft gray 8,Cardigan,8,gray,2,smooth,boho,cold_season,2
Amber Cardigan knitred 8,Cardigan,8,red,2,smooth,casual,cold_season,2
Anna Cardigan color yellow 7,Cardigan,7,yellow,2,smooth,classic,cold_season,2
Araxas Cardigan colors blue dark 7,Cardigan,7,blue dark,2,smooth,classic,warm_season,2
Araxas Cardigan colors blue light 7,Cardigan,7,blue light,2,smooth,classic,warm_season,2
Araxas Cardigan colors pink 7,Cardigan,7,pink,2,smooth,classic,warm_season,2
Arya Cardigan maxi black 8,Cardigan,8,black,2,smooth,boho,cold_season,2
Arya Cardigan maxi brown 8,Cardigan,8,brown,2,smooth,boho,cold_season,2
Blus Cardigan season blue dark 7,Cardigan,7,blue dark,2,smooth,classic,warm_season,2
Bobbi Cardigan leo black 8,Cardigan,8,black,3,animal_print,boho,cold_season,2
Bobbi Cardigan leopardgray 8,Cardigan,8,gray,2,animal_print,boho,cold_season,2
Bsandal Cardigan buttons brown 8,Cardigan,8,brown,2,smooth,boho,cold_season,2
Bsandal Cardigan buttons gray 8,Cardigan,8,gray,2,smooth,boho,cold_season,2
Bsandal Cardigan buttons red 8,Cardigan,8,red,2,smooth,boho,cold_season,2
Bshugo Cardigan acrilicbrown 8,Cardigan,8,brown,2,smooth,boho,cold,2
Bymoni Cardigan young brown 8,Cardigan,8,brown,3,horizontal_stripes,boho,cold,2
Bynonina Cardigan pocketblue dark 9,Cardigan,9,blue dark,2,smooth,minimal,cold_season,2
Bynonina Cardigan pocketgreen 9,Cardigan,9,green,2,smooth,minimal,cold_season,2
Bynonina Cardigan pocketyellow 9,Cardigan,9,yellow,2,smooth,minimal,cold_season,2
Bypimba Cardigan long black 8,Cardigan,8,black,2,smooth,boho,cold_season,2
Bypimba Cardigan long green 8,Cardigan,8,green,2,smooth,boho,cold_season,2
Bypimba Cardigan long orange 8,Cardigan,8,orange,2,smooth,boho,cold_season,2
Candy Cardigan street gray 8,Cardigan,8,gray,2,smooth,boho,cold_season,2
Chunky Cardigan long blue dark 8,Cardigan,8,blue dark,2,other,boho,cold_season,2
Classic Cardigan buttons yellow 8,Cardigan,8,yellow,2,smooth,classic,warm_season,2
Colour Cardigan block gray 7,Cardigan,7,gray,3,smooth,casual,cold_season,2
Darcey Cardigan organic white 7,Cardigan,7,white,2,smooth,boho,warm_season,2
Douglas Cardigan shineblue dark 7,Cardigan,7,blue dark,3,smooth,classic,warm_season,2
Douglas Cardigan shinegreen 7,Cardigan,7,green,3,smooth,classic,warm_season,2
Douglas Cardigan shineorange 7,Cardigan,7,orange,3,smooth,classic,warm_season,2
Douglas Cardigan shinered 7,Cardigan,7,red,3,smooth,classic,warm_season,2
Edge Cardigan long purple 8,Cardigan,8,purple,2,horizontal_stripes,classic,cold_season,2
Edopen Cardigan knit yellow 8,Cardigan,8,yellow,2,smooth,casual,cold_season,2
Esprit Cardigan wovenblack 8,Cardigan,8,black,2,smooth,boho,cold_season,2
Esprit Cardigan wovenbrown 8,Cardigan,8,brown,2,smooth,boho,cold_season,2
Filena Cardigan nais gray 7,Cardigan,7,gray,2,smooth,boho,warm_season,2
Filena Cardigan nais orange 7,Cardigan,7,orange,2,smooth,boho,warm_season,2
Filena Cardigan nais pink 7,Cardigan,7,pink,2,smooth,boho,warm_season,2
